Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,avg_before_correction,avg_after_correction,corrections_made,stage_score
15,William,Yang,19.0,21.0,18.0,17.25,20.0,22.0,23.25,22.0,21.0,20.0,18.0,,18.0,21.0,20.0,23.0,20.0,20.25,20.22,2,20.22
16,Yuanfan,Yang,17.0,21.41,20.0,18.0,20.0,17.0,17.0,19.0,20.0,17.0,18.0,16.0,20.0,17.0,19.0,16.0,20.0,18.41,18.38,1,18.38
17,Yichen,Yu,17.0,21.82,18.0,17.0,21.0,16.0,17.0,20.0,21.82,21.82,20.0,16.0,21.0,18.0,21.0,16.0,16.0,18.82,18.79,3,18.79
18,Yuewen,Yu,21.71,17.0,20.0,16.0,21.0,16.0,17.0,15.71,16.0,16.0,19.0,19.0,19.0,21.0,21.71,21.71,16.0,18.71,18.46,4,18.46
19,Andrey,Zenin,20.76,20.76,20.76,19.0,20.76,15.0,19.0,14.760000000000002,14.760000000000002,15.0,18.0,18.0,20.76,15.0,19.0,16.0,15.0,17.76,17.78,7,17.78
20,Jacky,Zhang,17.59,17.59,21.0,23.59,23.59,17.59,23.0,20.0,17.59,19.0,20.0,23.59,23.0,23.59,20.0,20.0,22.0,20.59,20.75,8,20.75
21,Yonghuan,Zhong,16.0,20.0,18.0,15.0,20.44,18.0,17.0,16.0,16.0,16.0,20.44,16.0,20.44,15.0,17.0,16.0,,17.44,17.33,3,17.33
22,Hanyuan,Zhu,15.75,16.0,18.0,15.75,21.75,,21.75,17.0,16.0,21.75,21.75,20.0,18.0,21.0,21.0,16.0,16.0,18.75,18.59,6,18.59
23,Jingting,Zhu,15.309999999999999,18.0,19.0,17.0,20.0,16.0,17.0,18.0,21.0,18.0,20.0,,19.0,20.0,20.0,19.0,16.0,18.31,18.33,1,18.33
24,Piotr,Alexewicz,17.88,22.0,21.0,19.0,21.0,21.0,23.88,23.88,18.0,18.0,23.88,20.0,23.0,22.0,19.0,23.88,20.0,20.88,21.02,5,21.02
25,Jonas,Aumiller,17.29,23.0,20.0,18.0,23.0,22.0,21.0,21.0,19.0,17.29,23.0,22.0,22.0,22.0,20.0,20.0,17.29,20.29,20.46,3,20.46
26,Yanyan,Bao,22.0,17.0,22.0,19.0,23.0,22.0,21.0,17.0,17.0,21.0,18.0,23.0,23.0,22.0,19.0,17.0,23.0,20.0,20.35,3,20.35
27,Michał,Basista,20.94,15.0,20.94,17.0,20.94,17.0,17.0,17.0,15.0,18.0,18.0,19.0,18.0,16.0,18.0,16.0,20.0,17.94,17.87,3,17.87
28,Kai-Min,Chang,22.0,17.0,20.0,18.0,22.69,,19.0,17.0,17.0,21.0,20.0,19.0,17.0,21.0,22.69,19.0,21.0,19.69,19.59,2,19.59
29,Kevin,Chen,20.0,23.0,22.0,25.0,24.0,19.82,25.0,23.0,24.0,24.0,24.0,24.0,22.0,22.0,21.0,22.0,25.0,22.82,22.93,1,22.93
30,Xuehong,Chen,19.0,18.0,21.0,19.0,21.0,17.41,21.0,22.0,19.0,23.41,19.0,23.0,23.0,20.0,21.0,19.0,21.0,20.41,20.4,2,20.4
31,Zixi,Chen,23.0,18.0,23.0,18.0,21.0,18.0,20.0,21.0,17.24,20.0,21.0,19.0,20.0,21.0,23.0,22.0,19.0,20.24,20.25,1,20.25
32,Hoi Leong,Cheong,22.0,16.19,19.0,17.0,22.0,20.0,22.0,17.0,17.0,22.0,18.0,,19.0,22.0,22.0,18.0,17.0,19.19,19.39,1,19.39
33,Diana,Cooper,21.71,17.0,20.0,19.0,20.0,21.71,21.0,15.71,16.0,18.0,19.0,16.0,19.0,16.0,19.0,20.0,19.0,18.71,18.71,3,18.71
34,Athena,Deng,20.94,14.940000000000001,20.0,17.0,19.0,,20.94,16.0,16.0,17.0,17.0,18.0,18.0,17.0,18.0,18.0,17.0,17.94,17.8,3,17.8
35,Yubo,Deng,19.0,18.0,20.0,18.0,22.0,,17.0,22.62,16.62,19.0,19.0,20.0,22.0,22.0,22.62,21.0,16.62,19.62,19.72,4,19.72
36,Mateusz,Dubiel,17.0,20.0,20.0,21.0,21.0,18.0,17.0,21.0,16.06,19.0,19.0,16.06,21.0,20.0,20.0,18.0,21.0,19.06,19.12,2,19.12
37,Yu-Ang,Fan,14.82,15.0,19.0,19.0,20.82,20.82,16.0,16.0,15.0,20.82,18.0,20.82,19.0,17.0,19.0,15.0,15.0,17.82,17.71,5,17.71
38,Alberto,Ferro,17.0,15.940000000000001,21.0,21.94,21.0,17.0,18.0,21.94,18.0,15.940000000000001,21.94,19.0,18.0,17.0,20.0,19.0,20.0,18.94,18.98,5,18.98
39,Yang (Jack),Gao,23.35,17.35,20.0,21.0,21.0,21.0,23.0,23.0,17.35,20.0,19.0,23.0,18.0,19.0,23.35,22.0,17.35,20.35,20.51,5,20.51
40,Shuguang,Gong,18.0,15.809999999999999,19.0,17.0,21.0,18.0,21.0,18.0,19.0,,19.0,21.0,18.0,16.0,21.81,19.0,21.0,18.81,18.91,2,18.91
41,Eric,Guo,19.59,22.0,24.0,24.0,22.0,22.0,22.0,25.0,19.59,22.0,25.0,22.0,24.0,23.0,23.0,25.0,23.0,22.59,22.78,2,22.78
42,Wei-Ting,Hsieh,15.879999999999999,21.0,21.88,21.0,21.0,17.0,21.88,17.0,15.879999999999999,19.0,21.0,18.0,17.0,15.879999999999999,19.0,21.0,20.0,18.88,19.02,5,19.02
43,Xiaoyu,Hu,22.65,16.65,22.65,17.0,21.0,22.65,22.65,16.65,16.65,20.0,19.0,16.65,19.0,22.65,22.65,18.0,16.65,19.65,19.6,11,19.6
44,Hasan,Ignatov,18.0,16.0,21.53,16.0,21.53,17.0,21.0,21.0,15.530000000000001,16.0,19.0,16.0,18.0,20.0,19.0,20.0,19.0,18.53,18.51,3,18.51
45,Zihan,Jin,22.0,21.0,23.0,20.0,21.0,20.0,20.0,21.0,21.0,23.0,19.0,22.0,18.0,21.0,18.0,19.0,20.0,20.53,20.53,0,20.53
46,Adam,Kałduński,22.0,18.0,24.0,23.0,23.0,21.0,24.0,21.0,18.0,21.0,23.0,20.0,23.0,18.0,,23.0,21.0,21.0,21.44,4,21.44
47,David,Khrikuli,18.0,21.0,23.0,23.0,23.0,23.29,22.0,19.0,17.29,19.0,23.0,19.0,18.0,17.29,20.0,23.0,20.0,20.29,20.52,3,20.52
48,Antoni,Kłeczek,20.0,14.530000000000001,18.0,16.0,20.53,16.0,18.0,20.0,20.0,15.0,19.0,19.0,,,18.0,14.530000000000001,16.0,17.53,17.64,3,17.64
49,Kaito,Kobayashi,21.0,20.0,20.0,21.0,21.0,18.0,20.0,19.0,15.760000000000002,16.0,21.76,21.76,18.0,20.0,17.0,16.0,16.0,18.76,18.96,3,18.96
50,Mateusz,Krzyżowski,21.94,15.940000000000001,21.94,19.0,21.94,21.94,21.94,18.0,15.940000000000001,17.0,17.0,16.0,21.94,18.0,20.0,16.0,19.0,18.94,19.03,8,19.03
51,Shiori,Kuwahara,22.0,18.71,24.71,24.0,24.0,22.0,23.0,24.71,18.71,21.0,23.0,20.0,22.0,24.0,23.0,18.71,21.0,21.71,22.03,5,22.03
52,Shushi,Kyomasu,22.35,16.35,19.0,19.0,20.0,17.0,19.0,19.0,21.0,19.0,21.0,18.0,18.0,20.0,22.35,17.0,20.0,19.35,19.3,3,19.3
53,Hyo,Lee,23.0,20.0,21.0,24.0,21.0,18.06,24.0,20.0,20.0,19.0,21.0,23.0,23.0,,19.0,22.0,20.0,21.06,21.13,1,21.13
54,Hyuk,Lee,20.0,21.0,20.0,24.06,21.0,18.06,22.0,19.0,22.0,22.0,22.0,21.0,22.0,,20.0,23.0,21.0,21.06,21.13,2,21.13
55,Kwanwook,Lee,19.0,18.0,21.0,22.88,21.0,21.0,22.0,18.0,22.88,21.0,19.0,19.0,18.0,21.0,18.0,19.0,17.0,19.88,19.87,2,19.87
56,Luwangzi,Li,19.0,17.0,19.0,21.0,22.12,16.12,20.0,17.0,19.0,22.0,18.0,22.12,19.0,17.0,22.0,16.12,17.0,19.12,19.03,4,19.03
57,Tianyou,Li,21.0,18.0,20.0,20.0,22.76,17.0,21.0,18.0,18.0,22.0,20.0,18.0,18.0,22.0,22.0,20.0,17.0,19.76,19.69,1,19.69
58,Xiaoxuan,Li,17.69,19.0,20.0,17.69,23.69,21.0,23.0,22.0,17.69,23.0,20.0,,23.0,23.69,19.0,23.69,20.0,20.69,20.88,6,20.88
59,Zhexiang,Li,19.0,19.0,21.0,17.0,20.0,22.82,22.82,16.82,19.0,21.0,21.0,21.0,22.82,19.0,16.82,18.0,21.0,19.82,19.89,5,19.89
60,Hao-Wei,Lin,13.940000000000001,13.940000000000001,19.0,19.94,19.94,17.0,19.0,14.0,17.0,18.0,19.0,16.0,17.0,19.0,17.0,18.0,15.0,16.94,17.22,4,17.22
61,Pedro Lopez,Salas,12.24,12.24,18.240000000000002,16.0,18.240000000000002,14.0,16.0,12.24,16.0,18.240000000000002,18.0,16.0,17.0,16.0,15.0,13.0,12.24,15.24,15.33,7,15.33
62,Eric,Lu,22.0,19.0,23.0,24.0,23.0,,22.0,21.0,18.67,21.0,24.0,,24.0,22.0,18.67,22.0,23.0,21.67,21.82,2,21.82
63,Philipp,Lynov,20.0,20.0,23.0,20.0,23.0,20.0,23.0,23.0,20.0,21.0,24.0,19.0,22.0,22.0,19.0,19.19,,21.14,21.14,0,21.14
64,Tianyao,Lyu,20.0,18.88,23.0,22.0,22.0,23.0,23.0,19.0,24.0,23.0,22.0,23.0,24.0,24.0,,19.0,23.0,21.88,22.06,1,22.06
65,Tiankun,Ma,19.0,18.0,22.65,22.65,22.0,19.0,18.0,20.0,17.0,20.0,22.65,20.0,18.0,18.0,19.0,16.65,18.0,19.65,19.45,4,19.45
66,Xuanyi,Mao,21.76,20.0,21.76,21.76,20.0,17.0,21.0,18.0,18.0,18.0,17.0,18.0,20.0,15.760000000000002,15.760000000000002,15.760000000000002,16.0,18.76,18.56,6,18.56
67,Ruben,Micieli,23.0,17.47,22.0,21.0,23.47,23.0,23.0,19.0,19.0,20.0,19.0,21.0,21.0,17.47,21.0,21.0,19.0,20.47,20.61,3,20.61
68,Nathalia,Milstein,24.0,21.0,22.0,22.0,23.0,18.12,24.0,24.12,18.12,18.12,23.0,21.0,19.0,19.0,21.0,24.0,20.0,21.12,21.26,4,21.26
69,Yumeka,Nakagawa,17.0,16.82,21.0,22.0,22.82,17.0,22.82,17.0,17.0,19.0,22.0,22.82,20.0,22.0,21.0,18.0,18.0,19.82,19.78,4,19.78
70,Yulia,Nakashima,17.0,18.0,20.0,17.0,20.0,17.0,19.0,16.0,16.0,15.0,20.0,19.0,18.0,14.530000000000001,18.0,16.0,18.0,17.53,17.56,1,17.56
71,Viet Trung,Nguyen,17.0,20.0,22.0,18.0,21.0,,18.0,16.21,20.0,,21.0,22.0,19.0,20.0,,20.0,17.0,19.21,19.37,1,19.37
72,Yuya,Nishimoto,18.0,16.0,21.0,20.0,21.0,16.0,19.0,15.809999999999999,20.0,16.0,21.81,20.0,21.81,16.0,18.0,21.0,,18.81,18.84,3,18.84
73,Vincent,Ong,21.0,18.53,22.0,19.0,24.0,24.0,23.0,24.0,24.0,24.53,24.0,24.0,18.53,23.0,22.0,18.53,21.0,21.53,22.07,4,22.07
74,Arisa,Onoda,17.0,14.5,18.0,17.0,20.5,,20.0,14.5,14.5,20.0,19.0,19.0,18.0,18.0,16.0,19.0,17.0,17.5,17.62,4,17.62
75,Piotr,Pawlak,23.59,23.59,23.59,22.0,21.0,17.59,23.59,19.0,17.59,17.59,20.0,23.0,23.0,19.0,19.0,23.59,19.0,20.59,20.92,8,20.92
76,Yehuda,Prokopowicz,23.59,20.0,23.0,23.0,23.59,17.59,21.0,19.0,17.59,19.0,20.0,19.0,23.0,20.0,22.0,22.0,19.0,20.59,20.73,4,20.73
77,Hao,Rao,18.12,18.12,24.0,23.0,21.0,18.12,21.0,24.12,19.0,21.0,20.0,20.0,24.12,23.0,24.0,19.0,24.0,21.12,21.27,5,21.27
78,Anthony,Ratinov,23.0,18.0,23.0,21.0,22.0,17.94,23.0,18.0,19.0,18.0,23.0,,22.0,23.94,23.0,20.0,22.0,20.94,21.06,2,21.06
79,Zuzanna,Sejbuk,18.0,17.0,19.0,16.0,20.0,16.0,17.0,15.0,15.0,17.0,20.0,20.76,20.76,17.0,19.0,14.760000000000002,19.0,17.76,17.72,3,17.72
80,Jun,Shimada,19.0,17.0,21.0,22.0,21.0,19.0,22.0,18.0,16.24,19.0,20.0,22.0,18.0,18.0,20.0,17.0,18.0,19.24,19.25,1,19.25
81,Miyu,Shindo,20.0,18.82,21.0,24.0,23.0,23.0,24.0,20.0,18.82,24.0,22.0,22.0,23.0,22.0,22.0,22.0,23.0,21.82,21.92,2,21.92
82,Mana,Shoji,18.0,16.0,20.0,16.0,21.0,18.0,19.0,16.0,16.0,21.94,21.0,21.94,18.0,18.0,,21.94,20.0,18.94,18.93,3,18.93
83,Gabriele,Strata,16.65,20.0,22.0,16.65,19.0,22.65,22.0,19.0,16.65,20.0,19.0,20.0,18.0,22.0,21.0,22.65,20.0,19.65,19.84,5,19.84
84,Eva,Strejcova,17.0,21.0,20.0,15.18,21.0,16.0,21.18,16.0,15.18,16.0,20.0,16.0,20.0,15.18,21.18,19.0,18.0,18.18,18.11,5,18.11
