Nr,imię,nazwisko,participant_name,original_rank,mean_rank_mc,std_rank_mc,min_rank_mc,max_rank_mc,rank_range_mc,rank_95_lower,rank_95_upper
32,Hoi Leong,Cheong,Hoi Leong Cheong,42,42.343,0.9095883684392627,40,45,5,41,44
71,Viet Trung,Nguyen,Viet Trung Nguyen,43,42.591,0.8750537126371158,40,45,5,41,44
52,Shushi,Kyomasu,Shushi Kyomasu,44,43.987,0.6803168379512592,41,46,5,42,45
80,Jun,Shimada,Jun Shimada,45,44.765,0.5456876395888036,42,46,4,43,45
36,Mateusz,Dubiel,Mateusz Dubiel,46,46.305,0.7293661631855428,44,50,6,46,48
50,Mateusz,Krzyżowski,Mateusz Krzyżowski,47,49.031,2.149892788024556,45,56,11,46,54
56,Luwangzi,Li,Luwangzi Li,48,48.945,1.9041993067953784,46,56,10,46,53
42,Wei-Ting,Hsieh,Wei-Ting Hsieh,49,49.216,2.117390847245732,46,56,10,46,54
7,Andrzej,Wierciński,Andrzej Wierciński,50,49.586,2.139767277065429,46,56,10,46,54
38,Alberto,Ferro,Alberto Ferro,51,50.955,2.1709387370444153,46,56,10,47,55
49,Kaito,Kobayashi,Kaito Kobayashi,52,51.995,2.1630938490967053,46,57,11,48,56
14,Fanze,Yang,Fanze Yang,53,52.417,2.0598813072602025,46,57,11,48,56
82,Mana,Shoji,Mana Shoji,54,53.249,2.0042452444748373,47,57,10,49,56
40,Shuguang,Gong,Shuguang Gong,55,53.842,1.6465223958391817,48,57,9,50,56
72,Yuya,Nishimoto,Yuya Nishimoto,56,55.841,1.1822516652557524,48,59,11,53,57
17,Yichen,Yu,Yichen Yu,57,56.826,0.9485378221241366,50,60,10,55,58
33,Diana,Cooper,Diana Cooper,58,58.081,0.7684002863091607,55,61,6,57,60
10,Maiqi,Wu,Maiqi Wu,59,58.988,0.6912712926196198,57,61,4,58,60
22,Hanyuan,Zhu,Hanyuan Zhu,60,60.471,1.3042848615237395,57,67,10,58,64
66,Xuanyi,Mao,Xuanyi Mao,61,61.077,1.173486685054415,58,67,9,59,64
44,Hasan,Ignatov,Hasan Ignatov,62,62.518,1.4034514597947447,59,67,8,60,65
6,Jan,Widlarz,Jan Widlarz,63,62.73,1.2454316520789088,60,68,8,61,65
18,Yuewen,Yu,Yuewen Yu,64,63.908,1.6222009739856527,59,69,10,61,67
1,Ziye,Tao,Ziye Tao,65,65.41,1.536847422485394,61,69,8,62,68
8,Krzysztof,Wierciński,Krzysztof Wierciński,66,65.624,1.2564330463657822,60,69,9,63,68
16,Yuanfan,Yang,Yuanfan Yang,67,66.554,1.2054393389963676,62,69,7,64,69
23,Jingting,Zhu,Jingting Zhu,68,67.713,1.0092725102765854,63,70,7,65,69
9,Victoria,Wong,Victoria Wong,69,68.702,0.6076150096895238,66,70,4,67,69
84,Eva,Strejcova,Eva Strejcova,70,69.991,0.09444045743218316,69,70,1,70,70
27,Michał,Basista,Michał Basista,71,71.27,0.5771481612203231,71,74,3,71,73
34,Athena,Deng,Athena Deng,72,72.475,0.8748571311934308,71,76,5,71,74
19,Andrey,Zenin,Andrey Zenin,73,72.928,1.1953309165247923,71,77,6,71,75
79,Zuzanna,Sejbuk,Zuzanna Sejbuk,74,74.315,1.0676024540998392,71,78,7,72,76
37,Yu-Ang,Fan,Yu-Ang Fan,75,74.53,1.2308939840619906,71,79,8,72,77
48,Antoni,Kłeczek,Antoni Kłeczek,76,76.332,1.1600758595885012,72,79,7,74,78
74,Arisa,Onoda,Arisa Onoda,77,76.622,1.0474330527532536,73,79,6,74,79
70,Yulia,Nakashima,Yulia Nakashima,78,78.1,0.8037412518964047,75,79,4,76,79
13,Ryota,Yamazaki,Ryota Yamazaki,79,78.428,0.8311534154414574,73,79,6,76,79
21,Yonghuan,Zhong,Yonghuan Zhong,80,80.041,0.19829019138626097,80,81,1,80,81
60,Hao-Wei,Lin,Hao-Wei Lin,81,80.966,0.21643474767236429,80,82,2,80,81
4,Ryan,Wang,Ryan Wang,82,81.993,0.08337265738837883,81,82,1,82,82
2,Chun,Lam U,Chun Lam U,83,83.0,0.0,83,83,0,83,83
61,Pedro Lopez,Salas,Pedro Lopez Salas,84,84.0,0.0,84,84,0,84,84
