stage,judge1,judge2,cohens_kappa,observed_agreement,expected_agreement,n_participants,interpretation
stage2,Michel Beroff,Wojciech Świtała,0.2838874680306906,0.65,0.51125,40,weak
stage1,Akiko Ebi,John Rink,0.28358208955223907,0.7142857142857143,0.601190476190476,84,weak
stage1,Akiko Ebi,Piotr Paleczny,0.2818471337579617,0.7317073170731707,0.6264128494943486,82,weak
stage1,Yulianna Avdeeva,Piotr Paleczny,0.27937095282146157,0.7682926829268293,0.6784651992861392,82,weak
stage1,Nelson Goerner,John Rink,0.275862068965517,0.75,0.6547619047619049,84,weak
stage1,Kevin Kenner,Wojciech Świtała,0.2756349952963311,0.7402597402597403,0.6414235115533817,77,weak
stage1,K. Popowa-Zydroń,Wojciech Świtała,0.27385892116182553,0.72,0.6144000000000001,75,weak
stage2,Nelson Goerner,Robert McDonald,0.2732919254658384,0.6388888888888888,0.5030864197530864,36,weak
stage1,Dang Thai Son,Wojciech Świtała,0.271676300578035,0.7428571428571429,0.646938775510204,70,weak
stage1,Kevin Kenner,Ewa Pobłocka,0.26730103806228384,0.7142857142857143,0.6100522853769607,77,weak
stage2,Dang Thai Son,Krzysztof Jabłoński,0.26415094339622625,0.6388888888888888,0.5092592592592593,36,weak
stage1,John Alison,Momo Kodama,0.26315789473684176,0.7619047619047619,0.6768707482993198,84,weak
stage2,Ewa Pobłocka,John Rink,0.2611111111111109,0.631578947368421,0.5013850415512466,38,weak
stage1,Sa Chen,Dang Thai Son,0.2607781282860146,0.7432432432432432,0.6526661796932067,74,weak
stage1,Sa Chen,John Rink,0.25806451612903225,0.7261904761904762,0.6309523809523809,84,weak
stage2,Kevin Kenner,John Rink,0.25373134328358216,0.625,0.49749999999999994,40,weak
stage2,Garrick Ohlsson,Kevin Kenner,0.25373134328358216,0.625,0.49749999999999994,40,weak
stage1,Akiko Ebi,Wojciech Świtała,0.2500000000000001,0.7,0.5999999999999999,80,weak
stage1,Robert McDonald,Ewa Pobłocka,0.24756852343059235,0.6891891891891891,0.5869247626004382,74,weak
stage2,Momo Kodama,K. Popowa-Zydroń,0.24431818181818177,0.631578947368421,0.5124653739612188,38,weak
stage1,Garrick Ohlsson,John Rink,0.24242424242424238,0.7023809523809523,0.6071428571428571,84,weak
stage1,Dang Thai Son,Piotr Paleczny,0.24210526315789485,0.75,0.6701388888888888,72,weak
stage1,Nelson Goerner,Wojciech Świtała,0.2363636363636365,0.7375,0.65625,80,weak
stage1,Michel Beroff,Ewa Pobłocka,0.2333333333333334,0.7125,0.625,80,weak
stage1,Dang Thai Son,Akiko Ebi,0.23279924599434512,0.7027027027027027,0.612490869247626,74,weak
stage2,Piotr Paleczny,K. Popowa-Zydroń,0.23145400593471813,0.6216216216216216,0.5076698319941563,37,weak
stage1,Kevin Kenner,K. Popowa-Zydroń,0.22816229116945086,0.7272727272727273,0.646652049249452,77,weak
stage2,Michel Beroff,Piotr Paleczny,0.22721268163804503,0.6153846153846154,0.502301117685733,39,weak
stage2,Momo Kodama,Wojciech Świtała,0.22680412371134018,0.625,0.515,40,weak
stage1,Akiko Ebi,Momo Kodama,0.22566371681415912,0.7023809523809523,0.6156462585034014,84,weak
stage1,Sa Chen,Nelson Goerner,0.22483221476510082,0.7380952380952381,0.6621315192743764,84,weak
stage2,Kevin Kenner,K. Popowa-Zydroń,0.223433242506812,0.6052631578947368,0.49168975069252074,38,weak
stage1,Sa Chen,Piotr Paleczny,0.21972318339100322,0.7317073170731707,0.6561570493753719,82,weak
stage1,Yulianna Avdeeva,K. Popowa-Zydroń,0.21499548328816592,0.7215189873417721,0.6452491587886557,79,weak
stage1,Yulianna Avdeeva,Wojciech Świtała,0.2142857142857139,0.725,0.6500000000000001,80,weak
stage1,Robert McDonald,Piotr Paleczny,0.21096345514950163,0.6710526315789473,0.5831024930747922,76,weak
stage1,Ewa Pobłocka,John Rink,0.20886075949367092,0.6875,0.605,80,weak
stage1,John Alison,Krzysztof Jabłoński,0.20825852782764792,0.75,0.6842403628117915,84,weak
stage2,Nelson Goerner,Ewa Pobłocka,0.2061281337047354,0.6052631578947368,0.502770083102493,38,weak
stage2,John Alison,Akiko Ebi,0.20595533498759305,0.6,0.49624999999999997,40,weak
stage1,Krzysztof Jabłoński,Kevin Kenner,0.2010333489901361,0.7407407407407407,0.6755067825026673,81,weak
stage1,John Alison,Kevin Kenner,0.2010333489901361,0.7407407407407407,0.6755067825026673,81,weak
stage1,Dang Thai Son,Robert McDonald,0.1999999999999999,0.6521739130434783,0.5652173913043479,69,weak
stage1,Akiko Ebi,Robert McDonald,0.19905213270142175,0.6666666666666666,0.5838264299802761,78,weak
stage2,Akiko Ebi,K. Popowa-Zydroń,0.19718309859154942,0.6052631578947368,0.5083102493074791,38,weak
stage2,Akiko Ebi,John Rink,0.19395465994962208,0.6,0.50375,40,weak
stage2,John Rink,Wojciech Świtała,0.19395465994962208,0.6,0.50375,40,weak
stage1,Nelson Goerner,K. Popowa-Zydroń,0.1928031985784093,0.7088607594936709,0.6393206216952413,79,weak
stage2,Garrick Ohlsson,Krzysztof Jabłoński,0.18987341772151897,0.6,0.50625,40,weak
stage1,Yulianna Avdeeva,Ewa Pobłocka,0.18831168831168857,0.6875,0.6149999999999999,80,weak
stage1,Yulianna Avdeeva,John Rink,0.18644067796610142,0.7142857142857143,0.648809523809524,84,weak
stage2,Krzysztof Jabłoński,K. Popowa-Zydroń,0.18338108882521498,0.6052631578947368,0.5166204986149584,38,weak
stage2,Akiko Ebi,Wojciech Świtała,0.1815856777493606,0.6,0.51125,40,weak
stage1,John Rink,Wojciech Świtała,0.18032786885245872,0.6875,0.6187500000000001,80,weak
stage2,Robert McDonald,K. Popowa-Zydroń,0.1793103448275863,0.5882352941176471,0.4982698961937716,34,weak
stage1,Kevin Kenner,John Rink,0.17766497461928948,0.7037037037037037,0.6396890717878372,81,weak
stage2,Krzysztof Jabłoński,Kevin Kenner,0.17073170731707302,0.575,0.48750000000000004,40,weak
stage2,Yulianna Avdeeva,Robert McDonald,0.16666666666666674,0.5833333333333334,0.5,36,weak
stage2,Kevin Kenner,Robert McDonald,0.16666666666666674,0.5833333333333334,0.5,36,weak
stage2,Dang Thai Son,K. Popowa-Zydroń,0.16491228070175443,0.5882352941176471,0.5069204152249135,34,weak
stage1,Nelson Goerner,Piotr Paleczny,0.16488845780795322,0.7439024390243902,0.6933372992266509,82,weak
stage2,Krzysztof Jabłoński,Ewa Pobłocka,0.1648351648351648,0.5789473684210527,0.4958448753462604,38,weak
stage1,Garrick Ohlsson,Akiko Ebi,0.16460905349794255,0.6547619047619048,0.586734693877551,84,weak
stage2,Sa Chen,Kevin Kenner,0.16256157635467972,0.575,0.4925,40,weak
stage2,Kevin Kenner,Wojciech Świtała,0.16256157635467972,0.575,0.4925,40,weak
stage2,Dang Thai Son,Kevin Kenner,0.16149068322981372,0.5833333333333334,0.5030864197530864,36,weak
stage2,Momo Kodama,Robert McDonald,0.16149068322981372,0.5833333333333334,0.5030864197530864,36,weak
stage1,Krzysztof Jabłoński,Robert McDonald,0.16020671834625344,0.6794871794871795,0.6183431952662721,78,weak
stage1,Sa Chen,Robert McDonald,0.15920398009950246,0.6666666666666666,0.6035502958579881,78,weak
stage1,Garrick Ohlsson,Piotr Paleczny,0.15127388535031858,0.6829268292682927,0.6264128494943486,82,weak
stage2,Michel Beroff,Ewa Pobłocka,0.15083798882681557,0.5789473684210527,0.5041551246537397,38,weak
stage2,Momo Kodama,Ewa Pobłocka,0.15083798882681557,0.5789473684210527,0.5041551246537397,38,weak
stage1,John Alison,Nelson Goerner,0.15073529411764733,0.7380952380952381,0.691609977324263,84,weak
stage2,John Alison,Kevin Kenner,0.1457286432160802,0.575,0.5025000000000001,40,weak
stage2,Yulianna Avdeeva,John Rink,0.1457286432160802,0.575,0.5025000000000001,40,weak
stage1,Garrick Ohlsson,Dang Thai Son,0.14472361809045237,0.6891891891891891,0.6365960555149743,74,weak
stage1,Dang Thai Son,Momo Kodama,0.143329658213892,0.7162162162162162,0.668736303871439,74,weak
stage1,Yulianna Avdeeva,Dang Thai Son,0.143329658213892,0.7162162162162162,0.668736303871439,74,weak
stage1,Robert McDonald,Wojciech Świtała,0.14260249554367194,0.6486486486486487,0.5902118334550768,74,weak
stage1,Garrick Ohlsson,Sa Chen,0.1403508771929826,0.6666666666666666,0.6122448979591836,84,weak
stage2,Yulianna Avdeeva,Nelson Goerner,0.13705583756345177,0.575,0.5075,40,weak
stage2,Michel Beroff,K. Popowa-Zydroń,0.13636363636363644,0.5789473684210527,0.5124653739612188,38,weak
stage1,Yulianna Avdeeva,Sa Chen,0.1350906095551891,0.7023809523809523,0.6558956916099774,84,weak
stage1,Michel Beroff,Nelson Goerner,0.13285457809694765,0.7261904761904762,0.6842403628117915,84,weak
stage1,Nelson Goerner,Krzysztof Jabłoński,0.13285457809694765,0.7261904761904762,0.6842403628117915,84,weak
stage1,John Alison,Yulianna Avdeeva,0.13285457809694765,0.7261904761904762,0.6842403628117915,84,weak
stage1,Sa Chen,K. Popowa-Zydroń,0.13039796782387814,0.6708860759493671,0.6215350104149976,79,weak
stage1,K. Popowa-Zydroń,John Rink,0.13039796782387814,0.6708860759493671,0.6215350104149976,79,weak
stage2,Piotr Paleczny,Ewa Pobłocka,0.1294117647058823,0.5675675675675675,0.5032870708546384,37,weak
stage2,Yulianna Avdeeva,Krzysztof Jabłoński,0.1282051282051282,0.575,0.5125,40,weak
stage1,Sa Chen,Kevin Kenner,0.12602503236944299,0.691358024691358,0.6468526139308033,81,weak
stage1,Nelson Goerner,Kevin Kenner,0.12494128698919671,0.7160493827160493,0.6755067825026673,81,weak
stage2,Sa Chen,Piotr Paleczny,0.1241743725231176,0.5641025641025641,0.502301117685733,39,weak
stage2,Dang Thai Son,John Rink,0.12195121951219522,0.5555555555555556,0.49382716049382713,36,weak
stage2,Dang Thai Son,Wojciech Świtała,0.12195121951219522,0.5555555555555556,0.49382716049382713,36,weak
stage2,Michel Beroff,Dang Thai Son,0.12195121951219522,0.5555555555555556,0.49382716049382713,36,weak
stage1,Michel Beroff,Akiko Ebi,0.12173263629574317,0.6666666666666666,0.6204648526077097,84,weak
stage1,Yulianna Avdeeva,Akiko Ebi,0.12173263629574317,0.6666666666666666,0.6204648526077097,84,weak
stage1,Akiko Ebi,Krzysztof Jabłoński,0.12173263629574317,0.6666666666666666,0.6204648526077097,84,weak
stage1,Kevin Kenner,Piotr Paleczny,0.1192438196800776,0.7088607594936709,0.6694439993590771,79,weak
stage1,Akiko Ebi,K. Popowa-Zydroń,0.11872509960159357,0.6455696202531646,0.5978208620413396,79,weak
stage1,Nelson Goerner,Robert McDonald,0.11650485436893233,0.6410256410256411,0.5936883629191321,78,weak
stage1,Dang Thai Son,K. Popowa-Zydroń,0.11347517730496454,0.6428571428571429,0.5971428571428572,70,weak
stage2,Kevin Kenner,Ewa Pobłocka,0.1101928374655648,0.5526315789473685,0.49722991689750695,38,weak
stage1,Krzysztof Jabłoński,Ewa Pobłocka,0.10714285714285723,0.625,0.58,80,weak
stage2,John Alison,Sa Chen,0.10669975186104233,0.55,0.49624999999999997,40,weak
stage2,John Alison,Michel Beroff,0.10669975186104233,0.55,0.49624999999999997,40,weak
stage2,John Alison,Nelson Goerner,0.10669975186104233,0.55,0.49624999999999997,40,weak
stage2,Krzysztof Jabłoński,Momo Kodama,0.10526315789473671,0.575,0.525,40,weak
stage2,Sa Chen,Robert McDonald,0.10280373831775702,0.5555555555555556,0.5046296296296297,36,weak
stage2,Garrick Ohlsson,John Rink,0.09774436090225577,0.55,0.50125,40,weak
stage2,Ewa Pobłocka,Wojciech Świtała,0.09523809523809523,0.5526315789473685,0.5055401662049862,38,weak
stage1,Robert McDonald,John Rink,0.0945273631840798,0.6410256410256411,0.6035502958579881,78,weak
stage2,Nelson Goerner,K. Popowa-Zydroń,0.09014084507042279,0.5526315789473685,0.5083102493074791,38,weak
stage1,Kevin Kenner,Momo Kodama,0.08906882591093129,0.691358024691358,0.6611796982167352,81,weak
stage2,Krzysztof Jabłoński,John Rink,0.08860759493670899,0.55,0.50625,40,weak
stage1,Dang Thai Son,John Rink,0.0873586844809867,0.6756756756756757,0.6446311176040905,74,weak
stage1,John Alison,Dang Thai Son,0.08022598870056526,0.7027027027027027,0.6767713659605551,74,weak
stage1,Dang Thai Son,Nelson Goerner,0.08022598870056526,0.7027027027027027,0.6767713659605551,74,weak
stage2,Michel Beroff,Sa Chen,0.07928388746803082,0.55,0.51125,40,weak
stage2,Sa Chen,Wojciech Świtała,0.07928388746803082,0.55,0.51125,40,weak
stage2,Michel Beroff,Akiko Ebi,0.07928388746803082,0.55,0.51125,40,weak
stage2,Michel Beroff,Nelson Goerner,0.07928388746803082,0.55,0.51125,40,weak
stage2,Robert McDonald,Piotr Paleczny,0.07894736842105246,0.5428571428571428,0.5036734693877551,35,weak
stage1,John Alison,Akiko Ebi,0.07866868381240562,0.6547619047619048,0.6252834467120181,84,weak
stage2,Piotr Paleczny,John Rink,0.07631578947368423,0.5384615384615384,0.5003287310979618,39,weak
stage2,Yulianna Avdeeva,Piotr Paleczny,0.07387862796833759,0.5384615384615384,0.5016436554898094,39,weak
stage2,Akiko Ebi,Piotr Paleczny,0.07387862796833759,0.5384615384615384,0.5016436554898094,39,weak
stage1,Dang Thai Son,Kevin Kenner,0.07368421052631585,0.6944444444444444,0.6701388888888888,72,weak
stage1,Garrick Ohlsson,Michel Beroff,0.07305936073059369,0.6547619047619048,0.6275510204081632,84,weak
stage2,Michel Beroff,Robert McDonald,0.07272727272727282,0.5277777777777778,0.4907407407407407,36,weak
stage1,Piotr Paleczny,K. Popowa-Zydroń,0.06608113759933071,0.6233766233766234,0.5967279473772981,77,weak
stage2,Krzysztof Jabłoński,Wojciech Świtała,0.06493506493506494,0.55,0.51875,40,weak
stage2,Michel Beroff,Krzysztof Jabłoński,0.06493506493506494,0.55,0.51875,40,weak
stage2,Nelson Goerner,Krzysztof Jabłoński,0.06493506493506494,0.55,0.51875,40,weak
stage2,Sa Chen,Krzysztof Jabłoński,0.06493506493506494,0.55,0.51875,40,weak
stage2,Akiko Ebi,Krzysztof Jabłoński,0.06493506493506494,0.55,0.51875,40,weak
stage1,Garrick Ohlsson,Wojciech Świtała,0.0625000000000003,0.625,0.5999999999999999,80,weak
stage1,Michel Beroff,Dang Thai Son,0.06174200661521485,0.6891891891891891,0.668736303871439,74,weak
stage1,John Alison,Michel Beroff,0.05745062836624736,0.7023809523809523,0.6842403628117915,84,weak
stage1,Yulianna Avdeeva,Nelson Goerner,0.05745062836624736,0.7023809523809523,0.6842403628117915,84,weak
stage1,Garrick Ohlsson,Momo Kodama,0.0540540540540544,0.6428571428571429,0.6224489795918366,84,weak
stage1,Michel Beroff,K. Popowa-Zydroń,0.05242114615726295,0.6582278481012658,0.6393206216952413,79,weak
stage2,Garrick Ohlsson,Ewa Pobłocka,0.04999999999999975,0.5263157894736842,0.5013850415512466,38,weak
stage1,Akiko Ebi,Kevin Kenner,0.047805642633228826,0.6296296296296297,0.6110349032159732,81,weak
stage2,Garrick Ohlsson,K. Popowa-Zydroń,0.0446927374301674,0.5263157894736842,0.5041551246537397,38,weak
stage2,Akiko Ebi,Ewa Pobłocka,0.0446927374301674,0.5263157894736842,0.5041551246537397,38,weak
stage1,Michel Beroff,Krzysztof Jabłoński,0.04126426690078974,0.6904761904761905,0.677154195011338,84,weak
stage1,Robert McDonald,K. Popowa-Zydroń,0.03675777568331778,0.6164383561643836,0.6018014636892475,73,weak
stage1,Momo Kodama,Piotr Paleczny,0.0361663652802891,0.6829268292682927,0.6710291493158835,82,weak
stage2,Yulianna Avdeeva,Sa Chen,0.03553299492385801,0.525,0.5075,40,weak
stage2,Yulianna Avdeeva,Akiko Ebi,0.03553299492385801,0.525,0.5075,40,weak
stage1,John Alison,Ewa Pobłocka,0.033333333333333215,0.6375,0.625,80,weak
stage1,Momo Kodama,K. Popowa-Zydroń,0.033216783216783265,0.6455696202531646,0.6333920846018266,79,weak
stage1,Michel Beroff,Kevin Kenner,0.032169117647059174,0.6790123456790124,0.6683432403597012,81,weak
stage1,John Alison,Robert McDonald,0.025839793281653874,0.6282051282051282,0.6183431952662721,78,weak
stage1,Krzysztof Jabłoński,Momo Kodama,0.025773195876288527,0.6785714285714286,0.6700680272108844,84,weak
stage2,Kevin Kenner,Momo Kodama,0.01960784313725492,0.5,0.49,40,weak
stage1,Krzysztof Jabłoński,Wojciech Świtała,0.01818181818181812,0.6625,0.65625,80,weak
stage1,John Alison,Sa Chen,0.013422818791946215,0.6666666666666666,0.6621315192743764,84,weak
stage2,John Alison,Krzysztof Jabłoński,0.012345679012345635,0.5,0.49375,40,weak
stage2,John Alison,Wojciech Świtała,0.007444168734491377,0.5,0.49624999999999997,40,weak
stage1,Garrick Ohlsson,Ewa Pobłocka,0.006024096385542307,0.5875,0.585,80,weak
stage1,Momo Kodama,Robert McDonald,0.005102040816326557,0.6153846153846154,0.6134122287968442,78,weak
stage1,Michel Beroff,Robert McDonald,0.005102040816326557,0.6153846153846154,0.6134122287968442,78,weak
stage2,Garrick Ohlsson,John Alison,0.0024937655860349703,0.5,0.49874999999999997,40,weak
stage2,Sa Chen,Dang Thai Son,0.0,0.5277777777777778,0.5277777777777778,36,weak
stage1,John Alison,Wojciech Świtała,-3.1720657846433055e-16,0.65,0.6500000000000001,80,weak
stage2,Robert McDonald,Wojciech Świtała,-0.003095975232198156,0.5,0.5015432098765432,36,weak
stage2,Yulianna Avdeeva,Ewa Pobłocka,-0.00557103064066847,0.5,0.502770083102493,38,weak
stage2,Garrick Ohlsson,Nelson Goerner,-0.007556675062972355,0.5,0.50375,40,weak
stage2,Garrick Ohlsson,Sa Chen,-0.007556675062972355,0.5,0.50375,40,weak
stage2,Garrick Ohlsson,Wojciech Świtała,-0.007556675062972355,0.5,0.50375,40,weak
stage2,Akiko Ebi,Robert McDonald,-0.009345794392523407,0.5,0.5046296296296297,36,weak
stage2,Garrick Ohlsson,Robert McDonald,-0.009345794392523407,0.5,0.5046296296296297,36,weak
stage1,John Alison,Piotr Paleczny,-0.009469696969696998,0.6829268292682927,0.6859012492563951,82,weak
stage1,Krzysztof Jabłoński,John Rink,-0.016949152542373145,0.6428571428571429,0.648809523809524,84,weak
stage1,Dang Thai Son,Krzysztof Jabłoński,-0.01984564498346194,0.6621621621621622,0.668736303871439,74,weak
stage2,Yulianna Avdeeva,Momo Kodama,-0.02040816326530614,0.5,0.51,40,weak
stage2,John Alison,Piotr Paleczny,-0.0236220472440945,0.48717948717948717,0.4990138067061144,39,weak
stage2,Dang Thai Son,Nelson Goerner,-0.025316455696202646,0.5,0.5123456790123457,36,weak
stage2,Nelson Goerner,Piotr Paleczny,-0.02902374670184708,0.48717948717948717,0.5016436554898094,39,weak
stage1,Yulianna Avdeeva,Krzysztof Jabłoński,-0.032484635645303434,0.6666666666666666,0.677154195011338,84,weak
stage2,Dang Thai Son,Momo Kodama,-0.036363636363636306,0.4722222222222222,0.4907407407407407,36,weak
stage1,Garrick Ohlsson,John Alison,-0.03703703703703677,0.6190476190476191,0.6326530612244897,84,weak
stage2,John Alison,Momo Kodama,-0.03960396039603964,0.475,0.495,40,weak
stage1,Yulianna Avdeeva,Robert McDonald,-0.041343669250645906,0.6025641025641025,0.6183431952662721,78,weak
stage1,Yulianna Avdeeva,Kevin Kenner,-0.0422794117647055,0.654320987654321,0.6683432403597012,81,weak
stage2,Yulianna Avdeeva,Dang Thai Son,-0.04907975460122699,0.4722222222222222,0.49691358024691357,36,weak
stage2,Dang Thai Son,Ewa Pobłocka,-0.055172413793103406,0.47058823529411764,0.4982698961937716,34,weak
stage2,Garrick Ohlsson,Yulianna Avdeeva,-0.05527638190954791,0.475,0.5025000000000001,40,weak
stage2,Garrick Ohlsson,Momo Kodama,-0.06060606060606066,0.475,0.505,40,weak
stage2,Yulianna Avdeeva,Michel Beroff,-0.06598984771573597,0.475,0.5075,40,weak
stage1,Krzysztof Jabłoński,K. Popowa-Zydroń,-0.07046070460704637,0.620253164556962,0.6452491587886557,79,weak
stage1,Sa Chen,Krzysztof Jabłoński,-0.07248764415156539,0.6309523809523809,0.6558956916099774,84,weak
stage1,Krzysztof Jabłoński,Piotr Paleczny,-0.07371483996120286,0.6707317073170732,0.6933372992266509,82,weak
stage2,Momo Kodama,Piotr Paleczny,-0.08190224570673701,0.46153846153846156,0.502301117685733,39,weak
stage2,John Alison,K. Popowa-Zydroń,-0.08719346049046314,0.4473684210526316,0.49168975069252074,38,weak
stage1,John Alison,K. Popowa-Zydroń,-0.08796090626388309,0.6075949367088608,0.6393206216952413,79,weak
stage1,Garrick Ohlsson,Robert McDonald,-0.09112709832134286,0.5512820512820513,0.5887573964497042,78,weak
stage2,Krzysztof Jabłoński,Robert McDonald,-0.10091743119266056,0.4444444444444444,0.49537037037037035,36,weak
stage1,Garrick Ohlsson,Nelson Goerner,-0.10185185185185164,0.5952380952380952,0.6326530612244897,84,weak
stage2,John Alison,Ewa Pobłocka,-0.10526315789473684,0.4473684210526316,0.5,38,weak
stage2,Garrick Ohlsson,Michel Beroff,-0.10831234256926957,0.45,0.50375,40,weak
stage2,Garrick Ohlsson,Akiko Ebi,-0.10831234256926957,0.45,0.50375,40,weak
stage1,Garrick Ohlsson,Krzysztof Jabłoński,-0.11872146118721444,0.5833333333333334,0.6275510204081632,84,weak
stage2,Krzysztof Jabłoński,Piotr Paleczny,-0.12303664921465962,0.4358974358974359,0.4976988823142669,39,weak
stage2,Nelson Goerner,Wojciech Świtała,-0.1253196930946291,0.45,0.51125,40,weak
stage2,Kevin Kenner,Piotr Paleczny,-0.1259842519685039,0.4358974358974359,0.4990138067061144,39,weak
stage2,Garrick Ohlsson,Piotr Paleczny,-0.12894736842105253,0.4358974358974359,0.5003287310979618,39,weak
stage1,Garrick Ohlsson,Kevin Kenner,-0.13173652694610757,0.5679012345679012,0.6181984453589391,81,weak
stage2,Nelson Goerner,Kevin Kenner,-0.1330049261083744,0.425,0.4925,40,weak
stage2,Dang Thai Son,Robert McDonald,-0.1462522851919561,0.42424242424242425,0.49770431588613406,33,weak
stage2,John Alison,Robert McDonald,-0.15950920245398767,0.4166666666666667,0.49691358024691357,36,weak
stage2,Yulianna Avdeeva,Wojciech Świtała,-0.16751269035532987,0.425,0.5075,40,weak
